Route,Endpoint,Methods,Docstring,Decorators
/static/<path:filename>,static,"OPTIONS, HEAD, GET",No docstring,None
/,dashboard,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/dashboard/stats,api_dashboard_stats,"OPTIONS, HEAD, GET",No docstring,None
/control_panel,settings,"HEAD, OPTIONS, POST, GET",No docstring,None
/control_panel/speedtest,user_settings,"HEAD, OPTIONS, POST, GET",No docstring,None
/control_panel/general,general_settings,"HEAD, OPTIONS, POST, GET",No docstring,None
/api/v1/utility,utility_control_api,"OPTIONS, POST",No docstring,None
/utility,utility_control,"HEAD, OPTIONS, POST, GET",No docstring,None
/superadmin,superadmin,"HEAD, OPTIONS, POST, GET",No docstring,None
/speedtest,speedtest,"OPTIONS, HEAD, GET",No docstring,None
/process,process,"HEAD, OPTIONS, POST, GET",No docstring,None
/kill_process,kill_process,"OPTIONS, POST",No docstring,None
/login,login,"HEAD, OPTIONS, POST, GET",No docstring,None
/logout,logout,"OPTIONS, HEAD, GET",No docstring,None
/signup,signup,"HEAD, OPTIONS, POST, GET",No docstring,None
/send_email,send_email_page,"HEAD, OPTIONS, POST, GET",No docstring,None
/about,about,"OPTIONS, HEAD, GET",No docstring,None
/os_info,show_os_info,"OPTIONS, HEAD, GET",No docstring,None
/terms,terms,"OPTIONS, HEAD, GET",No docstring,None
/privacy,privacy,"OPTIONS, HEAD, GET",No docstring,None
/update-email-password,smtp_config,"HEAD, OPTIONS, POST, GET",No docstring,None
/create_user,create_user,"HEAD, OPTIONS, POST, GET",No docstring,None
/users,view_users,"OPTIONS, HEAD, GET",No docstring,None
/user/<username>,update_user_profile,"HEAD, OPTIONS, POST, GET",No docstring,None
/delete_user/<username>,delete_user,"OPTIONS, POST",No docstring,None
/system/activity_list/<int:activity_id>,manage_activities,"HEAD, OPTIONS, GET, DELETE, PUT",Manage Predefined Activities and points ,None
/system/activity_list,manage_activities,"HEAD, OPTIONS, POST, GET",Manage Predefined Activities and points ,None
/historical_system_metrics,historical_system_metrics,"OPTIONS, HEAD, GET",No docstring,None
/chart_configurations,chart_configurations,"HEAD, OPTIONS, POST, GET",No docstring,None
/chart_configurations/<int:id>,delete_chart_configuration,"OPTIONS, DELETE",No docstring,None
/chart_configurations/<int:id>/activate,activate_chart_configuration,"OPTIONS, POST",No docstring,None
/firewall,firewall,"HEAD, OPTIONS, POST, GET","Flask view for the firewall page. Handles both GET and POST requests:
- GET: Displays the open ports and checks if sudo password is saved in session.
- POST: Handles sudo password verification, enabling/disabling ports, and
  session management.",None
/system/security,perform_security_analysis,"HEAD, OPTIONS, POST, GET",No docstring,None
/health,health,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/system_info,system_api,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/prometheus/graphs_data,graph_data_api,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/targets,get_prometheus_targets,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/refresh-interval,manage_refresh_interval,"HEAD, OPTIONS, POST, GET",No docstring,None
/api/v1/os-info,get_os_info_api,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/prometheus/config,manage_prometheus_config,"HEAD, OPTIONS, POST, GET",No docstring,None
/api/v1/prometheus/rules,manage_alert_rules,"HEAD, OPTIONS, POST, GET",No docstring,None
/api/v1/prometheus/reload,reload_prometheus_config,"OPTIONS, POST",No docstring,None
/api/v1/prometheus/ready,ready_prometheus,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/get-retention,get_retention,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/alerts/history,alert_history_api,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/chart-configurations,get_chart_configurations,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/labels,retrieve_labels,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/disk,get_disk_usage,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/network,get_network_metrics,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/status,get_status,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/ec2_metadata,ec2_metadata,"OPTIONS, HEAD, GET",No docstring,None
/export_routes,export_routes,"OPTIONS, HEAD, GET",No docstring,None
/profile,view_profile,"OPTIONS, HEAD, GET",This route displays the user's profile information.,None
/change_password,change_password,"HEAD, OPTIONS, POST, GET",This route allows users to change their password.,None
/edit_profile,edit_profile,"HEAD, OPTIONS, POST, GET",This route allows the user to edit their profile information.,None
/delete_user,delete_user_self,"OPTIONS, HEAD, GET",This route allows users to delete their own account.,None
/api/v1/recent_activity,get_activities,"OPTIONS, HEAD, GET",Get user's recent activities,None
/metrics,metrics,"OPTIONS, HEAD, GET",No docstring,None
/metrics_,metrics_,"OPTIONS, HEAD, GET",No docstring,None
/system/targets,configure_targets,"POST, HEAD, OPTIONS, GET, DELETE, PUT",No docstring,None
/system/targets/restart_prometheus,restart_prometheus,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/alerts/active,api_active_alerts,"OPTIONS, HEAD, GET",No docstring,None
/system/alerts,show_alerts,"OPTIONS, HEAD, GET",No docstring,None
/system/alerts/active,active_alerts,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/system/alerts/rules,prometheus_rules_api,"OPTIONS, HEAD, GET",No docstring,None
/system/alerts/rules,manage_rules,"HEAD, OPTIONS, POST, GET",No docstring,None
/system/alertmanager/status,alertmanager_status,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/alertmanagers,api_alertmanagers,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/check_monthly_alerts,check_monthly_alerts,"OPTIONS, HEAD, GET",No docstring,None
/alerts,receive_alerts,"OPTIONS, POST","Receives and processes incoming alerts from external sources.

Validates the request content type and alert data, logs the alert based on severity,
and triggers notifications via Slack, email, and Discord.",None
/alerts/test,test_alert,"OPTIONS, HEAD, GET",No docstring,None
/alerts/ticket,alert_history,"HEAD, OPTIONS, POST, GET",No docstring,None
/alerts/ticket/<int:alert_id>,alert_ticket,"HEAD, OPTIONS, POST, GET",No docstring,None
/api/v1/mark_notification/<int:notification_id>,mark_notification,"OPTIONS, POST",No docstring,None
/api/v1/system/notifications/,show_all_notifications,"OPTIONS, HEAD, GET",API endpoint to retrieve user notifications with optional query parameters.,None
/api/v1/system/notifications/<int:notification_id>,get_notification,"OPTIONS, HEAD, GET",No docstring,None
/update-webhooks,update_webhooks,"HEAD, OPTIONS, POST, GET",No docstring,None
/activation,activation,"HEAD, OPTIONS, POST, GET","Activation page route to activate the product with the activation code and show the product details.

Returns:
    render_template: Activation page template",None
/download-license,download_license,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/system/services,fetch_all_running_services,"OPTIONS, HEAD, GET",Get all running services.,None
/api/v1/system/services/<category>,get_services_by_category,"OPTIONS, HEAD, GET",Get services for a specific category.,None
/api/v1/system/services/categories,list_service_categories,"OPTIONS, HEAD, GET",Get list of available service categories.,None
/system/services,show_system_services,"OPTIONS, HEAD, GET",No docstring,None
/api/v1/histogram/endpoints,get_endpoints_histogram,"OPTIONS, HEAD, GET",Get list of endpoints that have histogram metrics.,None
/api/v1/histogram/data/<path:endpoint>/<metric_name>,get_metrics,"OPTIONS, HEAD, GET",Get histogram data for specific endpoint and metric.,None
/api/v1/summary/endpoints,get_metrics_list,"OPTIONS, HEAD, GET",Get list of available metrics and their endpoints.,None
/api/v1/summary/data,get_metrics_summary,"OPTIONS, HEAD, GET",Get summary metrics for specific metric and optional endpoint.,None
